number,combine_polarity,combine_subjectivity,rating_polarity,rating_subjectivity,confidence_polarity,confidence_subjectivity,summary_polarity,summary_subjectivity,strength_weakness_polarity,strength_weakness_subjectivity,question_polarity,question_subjectivity,limitation_polarity,limitation_subjectivity
3025,0.12072949572949573,0.582976482976483,0.19494949494949498,0.6146464646464647,0.09857142857142857,0.42095238095238097,0.1339393939393939,0.5375757575757576,0.1852272727272727,0.6590909090909091,0.047272727272727265,0.5309090909090909,0.07870129870129869,0.648051948051948
5769,0.12949579831932775,0.5353851540616246,0.15138888888888888,0.6013888888888889,0.16428571428571428,0.596031746031746,0.05,0.55,0.13,0.5686111111111111,0.0,1.0,0.13416666666666668,0.3883333333333333
6510,0.22184065934065933,0.5408882783882784,0.0,0.0,0.19642857142857142,0.7023809523809523,0.2285714285714286,0.4785714285714286,0.2575,0.5375,0.0,0.0,0.17142857142857146,0.5619047619047619
6640,0.10961460855528653,0.38303066989507656,0.18416666666666665,0.4041666666666667,0.17857142857142858,0.6011904761904763,0.05108225108225108,0.17965367965367962,0.15333333333333332,0.44333333333333336,0.0725,0.43249999999999994,0.07793367346938775,0.38698979591836735
7169,0.06599489795918366,0.45866496598639456,0.0,0.0,-0.06133333333333333,0.35466666666666663,0.05989010989010989,0.32252747252747255,0.10961538461538461,0.6096153846153846,0.008333333333333325,0.5010416666666666,0.10189075630252101,0.457983193277311
8594,0.11626984126984126,0.4459077380952381,0.11979166666666666,0.5260416666666667,0.09999999999999999,0.5555555555555556,0.061111111111111116,0.3851851851851852,0.2152777777777778,0.40198412698412705,0.075,0.315,0.06428571428571428,0.4995535714285714
9378,0.21052631578947367,0.49758771929824563,0.26833333333333337,0.5083333333333334,0.16666666666666666,0.6111111111111112,0.19166666666666668,0.40075757575757576,0.2392857142857143,0.625,0.2857142857142857,0.5035714285714286,0.075,0.445
10162,0.13373015873015873,0.4386507936507937,-0.05,0.2,0.5,0.8333333333333334,0.11203703703703703,0.35648148148148145,0.1527777777777778,0.35833333333333334,0.2125,0.5375,0.05476190476190476,0.5904761904761905
10438,0.09957264957264958,0.4232905982905983,0.4333333333333333,0.7333333333333333,0.0,0.7,0.09166666666666666,0.44111111111111106,0.07416666666666664,0.38083333333333336,0.0,0.4777777777777778,0.14814814814814817,0.35740740740740745
11146,0.12594076655052266,0.3959233449477352,0.0,0.0,0.16,0.5399999999999999,0.1103896103896104,0.3822510822510823,0.14014550264550263,0.34609788359788357,-0.06000000000000001,0.5650000000000001,0.26111111111111107,0.4055555555555556
